Type,Vehicle_Type,Vehicle_Segment,Country,Motor_Energy,Year,Units
Vehicle in Operation,Lorries,Goods road motor vehicles <= 3.5 tonnes,Albania,Petroleum products,2021,5.0
Vehicle in Operation,Lorries,Goods road motor vehicles <= 3.5 tonnes,Albania,Petroleum products,2022,5.0
Vehicle in Operation,Lorries,Goods road motor vehicles <= 3.5 tonnes,Albania,Petroleum products,2023,5.0
Vehicle in Operation,Lorries,Goods road motor vehicles <= 3.5 tonnes,Albania,Petroleum products,2024,7.0
Vehicle in Operation,Lorries,Goods road motor vehicles <= 3.5 tonnes,Albania,Total,2020,3583.0
Vehicle in Operation,Lorries,Goods road motor vehicles <= 3.5 tonnes,Albania,Total,2021,3668.0
Vehicle in Operation,Lorries,Goods road motor vehicles <= 3.5 tonnes,Albania,Total,2022,3739.0
Vehicle in Operation,Lorries,Goods road motor vehicles <= 3.5 tonnes,Albania,Total,2023,3820.0
Vehicle in Operation,Lorries,Goods road motor vehicles <= 3.5 tonnes,Albania,Total,2024,3949.0
Vehicle in Operation,Lorries,Goods road motor vehicles <= 3.5 tonnes,Austria,Alternative energy,2017,3625.0
Vehicle in Operation,Lorries,Goods road motor vehicles <= 3.5 tonnes,Austria,Alternative energy,2018,4038.0
Vehicle in Operation,Lorries,Goods road motor vehicles <= 3.5 tonnes,Austria,Alternative energy,2019,4425.0
Vehicle in Operation,Lorries,Goods road motor vehicles <= 3.5 tonnes,Austria,Alternative energy,2020,5149.0
Vehicle in Operation,Lorries,Goods road motor vehicles <= 3.5 tonnes,Austria,Alternative energy,2021,7418.0
Vehicle in Operation,Lorries,Goods road motor vehicles <= 3.5 tonnes,Austria,Alternative energy,2022,9313.0
Vehicle in Operation,Lorries,Goods road motor vehicles <= 3.5 tonnes,Austria,Alternative energy,2023,12066.0
Vehicle in Operation,Lorries,Goods road motor vehicles <= 3.5 tonnes,Austria,Alternative energy,2024,14426.0
Vehicle in Operation,Lorries,Goods road motor vehicles <= 3.5 tonnes,Austria,Biodiesel,2019,0.0
Vehicle in Operation,Lorries,Goods road motor vehicles <= 3.5 tonnes,Austria,Biodiesel,2020,0.0
Vehicle in Operation,Lorries,Goods road motor vehicles <= 3.5 tonnes,Austria,Biodiesel,2021,0.0
Vehicle in Operation,Lorries,Goods road motor vehicles <= 3.5 tonnes,Austria,Biodiesel,2022,0.0
Vehicle in Operation,Lorries,Goods road motor vehicles <= 3.5 tonnes,Austria,Biodiesel,2023,0.0
Vehicle in Operation,Lorries,Goods road motor vehicles <= 3.5 tonnes,Austria,Biodiesel,2024,0.0
Vehicle in Operation,Lorries,Goods road motor vehicles <= 3.5 tonnes,Austria,Bioethanol,2019,0.0
Vehicle in Operation,Lorries,Goods road motor vehicles <= 3.5 tonnes,Austria,Bioethanol,2020,0.0
Vehicle in Operation,Lorries,Goods road motor vehicles <= 3.5 tonnes,Austria,Bioethanol,2021,0.0
Vehicle in Operation,Lorries,Goods road motor vehicles <= 3.5 tonnes,Austria,Bioethanol,2022,0.0
Vehicle in Operation,Lorries,Goods road motor vehicles <= 3.5 tonnes,Austria,Bioethanol,2023,0.0
